kernel,M,N,K,status,latency_ms,reference_latency_ms,speedup
gemm_v1,256,,,PASSED,0.6521088333333332,0.028858833333333334,0.04425462723119071
gemm_v1,248,,,PASSED,0.649282,0.029029333333333334,0.0447099000639681
gemm_v1,240,,,PASSED,0.6472448333333334,0.02874133333333333,0.04440565896109895
gemm_v1,232,,,PASSED,0.6466798333333333,0.029482666666666667,0.045590824310535946
gemm_v1,224,,,PASSED,0.6485029999999999,0.030581333333333332,0.0471568108911344
gemm_v1,216,,,PASSED,0.6501195,0.03124283333333333,0.04805706232982295
gemm_v1,208,,,PASSED,0.6499646666666666,0.031205499999999997,0.048011071371059144
gemm_v1,200,,,PASSED,0.6503758333333334,0.029109333333333334,0.04475771060579075
gemm_v1,192,,,PASSED,0.6534101666666667,0.030757500000000004,0.04707227032739262
gemm_v1,184,,,PASSED,0.6502631666666666,0.029962666666666665,0.046077754673172065
gemm_v1,176,,,PASSED,0.6578158333333334,0.031664,0.04813505299735614
gemm_v1,168,,,PASSED,0.6615436666666668,0.028266833333333335,0.042728597910644345
gemm_v1,160,,,PASSED,0.6619276666666667,0.027056,0.04087455678691982
gemm_v1,152,,,PASSED,0.661506,0.028080166666666666,0.042448846520918425
gemm_v1,144,,,PASSED,0.658168,0.02659716666666666,0.04041090825847909
gemm_v1,136,,,PASSED,0.6577198333333333,0.026485833333333333,0.04026917236036925
gemm_v1,128,,,PASSED,0.5401565,0.025818666666666667,0.047798492967624506
gemm_v1,120,,,PASSED,0.5362628333333332,0.025706666666666666,0.047936692734936885
gemm_v1,112,,,PASSED,0.5321351666666666,0.02592016666666667,0.04870974197971632
gemm_v1,104,,,PASSED,0.5259858333333334,0.0258665,0.04917717999375775
gemm_v1,96,,,PASSED,0.5215913333333333,0.025712166666666664,0.04929561713065273
gemm_v1,88,,,PASSED,0.5111803333333333,0.025755,0.0503833937273278
gemm_v1,80,,,PASSED,0.5061140000000001,0.025610833333333333,0.0506028944730502
gemm_v1,72,,,PASSED,0.5015428333333333,0.0260855,0.05201051289404661
gemm_v1,64,,,PASSED,0.4695641666666666,0.025237499999999996,0.05374664804419701
gemm_v1,56,,,PASSED,0.44848099999999996,0.02616033333333333,0.05833097351578625
gemm_v1,48,,,PASSED,0.4294468333333334,0.02604283333333333,0.060642741573365105
gemm_v1,40,,,PASSED,0.40924933333333335,0.026176166666666667,0.063961415534784
gemm_v1,32,,,PASSED,0.3902041666666667,0.025930833333333334,0.06645452701043257
gemm_v1,24,,,PASSED,0.37244900000000003,0.025850833333333333,0.0694077130918148
gemm_v1,16,,,PASSED,0.3572918333333333,0.025754833333333334,0.07208346491733415
gemm_v1,8,,,PASSED,0.358225,0.025621333333333333,0.07152301858701468
gemm_v1,4,,,PASSED,0.3585723333333333,0.025584333333333334,0.07135055037709732
gemm_v1,2,,,PASSED,0.357809,0.02613333333333333,0.0730371045259715
gemm_v1,1,,,PASSED,0.3517501666666667,0.02615466666666667,0.074355804617008
gemm_v1,7,,,PASSED,0.3604708333333333,0.02566416666666667,0.07119623640377748
gemm_v1,35,,,PASSED,0.4105986666666667,0.0261015,0.06356937350015748
gemm_v1,972,,,PASSED,2.6666925,0.07016533333333334,0.0263117451049693
gemm_v1,70,,,PASSED,0.5033243333333334,0.025882666666666665,0.05142343604819423
gemm_v1,2053,,,PASSED,4.759671333333333,0.1462725,0.03073163875320803
gemm_v1,8192,,,PASSED,18.439823166666667,0.5618316666666666,0.03046838690309566
gemm_v1,2379,,,PASSED,5.565251833333334,0.16548333333333334,0.029735102433669443
gemm_v1,15,,,PASSED,0.3587906666666667,0.025658666666666666,0.07151430917935434
gemm_v10,256,,,PASSED,0.049466666666666666,0.028917333333333333,0.5845822102425876
gemm_v10,248,,,PASSED,0.0494185,0.029045333333333336,0.5877421073754432
gemm_v10,240,,,PASSED,0.04938133333333333,0.029210666666666666,0.5915325629117615
gemm_v10,232,,,PASSED,0.049370833333333336,0.028976166666666664,0.5869085998818465
gemm_v10,224,,,PASSED,0.04929583333333334,0.029701333333333333,0.6025120446285183
gemm_v10,216,,,PASSED,0.049264333333333334,0.031152,0.6323438863816283
gemm_v10,208,,,PASSED,0.049264,0.03125883333333333,0.6345167532748728
gemm_v10,200,,,PASSED,0.04922116666666667,0.028997333333333333,0.5891232430492301
gemm_v10,192,,,PASSED,0.04932266666666666,0.028688,0.5816392733564015
gemm_v10,184,,,PASSED,0.049312333333333326,0.029173166666666667,0.5915998026186824
gemm_v10,176,,,PASSED,0.049237333333333334,0.029216333333333334,0.5933776538128249
gemm_v10,168,,,PASSED,0.04931749999999999,0.028245333333333334,0.5727243541001336
gemm_v10,160,,,PASSED,0.049258500000000004,0.027354666666666666,0.5553288603320577
gemm_v10,152,,,PASSED,0.049328000000000004,0.02781866666666667,0.5639528597686236
gemm_v10,144,,,PASSED,0.049151499999999994,0.026810833333333336,0.545473349406088
gemm_v10,136,,,PASSED,0.04924766666666667,0.026453166666666666,0.5371455838855309
gemm_v10,128,,,PASSED,0.0493385,0.025823666666666665,0.5233978873834159
gemm_v10,120,,,PASSED,0.049236833333333334,0.02590933333333333,0.5262185152714262
gemm_v10,112,,,PASSED,0.04909316666666667,0.025925166666666666,0.5280809617088597
gemm_v10,104,,,PASSED,0.049077166666666665,0.0261015,0.5318461063019803
gemm_v10,96,,,PASSED,0.04897033333333334,0.0256905,0.524613541531948
gemm_v10,88,,,PASSED,0.04890633333333333,0.025903833333333334,0.529662143280693
