stage_index,group,run,run_dir,definition,prompt_tag,prompt_tag_raw,replica,trajectory_id,turn,correctness,is_correct,speedup,arch_tag,is_shared_pair,is_matched_turn
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,0,Extraction error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,1,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,2,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,3,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,4,Kernel Execution Timeout,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,5,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,6,Kernel Execution Timeout,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,0,exp_004,7,Kernel Execution Timeout,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,0,Extraction error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,1,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,2,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,3,Numerical error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,4,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,5,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,6,Compilation error,0,0.0,,0,0
0,regular-patched,qwen36-27b-mha-bwd-d128,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,mha_bwd_d128,hopper-010,hopper-010-mha-patched,1,exp_005,7,Compilation error,0,0.0,,0,0
