stage_index,group,parquet_rows,run,run_dir,definition,prompt_tag,prompt_tag_raw,prompt_tag_match,replica,trajectory_id,turn,correctness,is_correct,speedup,arch_tag,is_comparison_pair,is_shared_pair
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,0,Compilation error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,1,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,2,Compilation error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,3,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,4,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,5,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,6,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,0,exp_004,7,Compilation error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,0,Compilation error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,1,Correct,1,0.008043090395096424,G,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,2,Compilation error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,3,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,4,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,5,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,6,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,1,exp_005,7,Runtime error,0,0.0,,1,1
0,inkling,N/A,inkling-gemm,/home/ubuntu/AccRL-exps/eval_runs/inkling-gemm,gemm_n7168_k5120,hopper-00,hopper-00,hopper-00,2,exp_006,0,Compilation error,0,0.0,,1,1
