stage_index,group,resolution,run,run_dir,definition,prompt_tag,prompt_tag_raw,replica,trajectory_id,turn,has_source_turn,correctness,is_correct,speedup,arch_tag,uses_instruction,correct_and_use_instruction
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,0,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,1,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,2,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,3,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,4,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,5,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,6,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,0,exp_004,7,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,0,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,1,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,2,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,3,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,4,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,5,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,6,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,1,exp_005,7,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,0,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,1,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,2,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,3,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,4,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,5,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,6,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,2,exp_006,7,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,0,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,1,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,2,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,3,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,4,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,5,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,6,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-07,hopper-07,3,exp_007,7,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,0,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,1,1,Compilation error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,2,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,3,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,4,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,5,1,Runtime error,0,0.0,,0,0
0,fixit_v2_glm_nopatched_d128,d128,2026-0624-0939-nopatched-mha-d128,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-d128,mha_with_lse_d128,hopper-08,hopper-08,0,exp_008,6,1,Numerical error,0,0.0,,0,0
