definition_name,workload_uuid,seq_len,status,latency_ms,reference_latency_ms,speedup_factor,max_absolute_error,max_relative_error
gdn_decode_qk4_v8_d128_k_last,901e5104-dccb-4c3f-ae13-ef4d31a4d456,1,PASSED,0.0566025,0.05497066666666667,0.9711702957760995,0.0,0.0
gdn_decode_qk4_v8_d128_k_last,ec9d2340-6d13-40e4-a6fe-4483a1cacd0d,1,PASSED,0.0546345,0.05353066666666667,0.9797960385226673,0.0,0.0
gdn_decode_qk4_v8_d128_k_last,2640f1e3-4b02-4041-bdc1-59a28e0b9954,1,PASSED,0.05570666666666666,0.057904000000000004,1.0394447103877456,0.0,0.0
gdn_decode_qk4_v8_d128_k_last,76eec66d-0ada-4c35-bf21-a07247ad7f05,1,PASSED,0.05608533333333334,0.056826666666666664,1.0132179535945225,0.0,0.0
gdn_decode_qk4_v8_d128_k_last,a8c8beff-e414-4580-b2f7-e5b8f13bc269,1,PASSED,0.05884283333333334,0.058891000000000006,1.0008185647076817,0.0,0.0
gdn_decode_qk4_v8_d128_k_last,eaf0a285-447c-4432-8e68-d287acc3cb08,1,PASSED,0.0711095,0.07026666666666666,0.9881473877142527,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,ebd82770-ef27-4641-aee3-10dc77f946e7,1,PASSED,0.05630933333333333,0.055877333333333334,0.9923280924417505,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,ac1e5c37-0641-4640-a558-9bc77d59adf0,1,PASSED,0.054746666666666666,0.05590416666666667,1.0211428397467122,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,1ac6aac4-ab26-441a-881f-35dcc6929b87,1,PASSED,0.061013333333333336,0.05748266666666666,0.942132867132867,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,d80d1828-0dab-484e-acef-5816b1dff408,1,PASSED,0.06229383333333333,0.05955766666666667,0.9560764441638151,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,eb8703d8-e821-423a-b542-f483b2a62aa6,1,PASSED,0.07369099999999999,0.07344566666666667,0.996670782954047,0.0,0.0
gdn_decode_qk8_v16_d128_k_last,35b0abd8-5892-44f2-a152-52cba6b59493,1,PASSED,0.102379,0.10017066666666667,0.9784298212198466,0.0,0.0
gdn_mtp_qk4_v8_d128_k_last,6e9a4b05-efa0-4dd3-8b02-48a4e9f1575e,4,PASSED,0.11054983333333333,0.11081066666666667,1.0023594186030735,0.0,0.0
gdn_mtp_qk4_v8_d128_k_last,5165af4b-89b2-4896-9268-f2abfb16ba9f,4,PASSED,0.11349383333333334,0.10946716666666667,0.9645208329968001,0.0,0.0
gdn_mtp_qk4_v8_d128_k_last,ec17dbcc-4359-4704-b18e-a70593c1daa6,4,PASSED,0.1200375,0.11519466666666667,0.9596556631608177,0.0,0.0
gdn_mtp_qk4_v8_d128_k_last,392464f6-1f95-43ff-b81d-b8a51cf03292,4,PASSED,0.12254933333333333,0.11552033333333334,0.9426435068326225,0.0,0.0
gdn_mtp_qk4_v8_d128_k_last,ee29c0d0-f6f8-4859-b884-1f7cd09bf2ec,4,PASSED,0.14494933333333335,0.14334899999999998,0.9889593605121787,0.0,0.0
