mode,request_index,duration_s,instantaneous_requests_per_s,cumulative_runtime_s,cumulative_requests_per_s,rolling_requests_per_s,solution_latency_ms,reference_latency_ms,task_id,evaluation_status
reuse,1,1.3425804349826649,0.7448343309225356,1.3425804349826649,0.7448343309225356,0.7448343309225356,0.8100243333333333,0.757859,c47aa56dfc0540c79a1d8b7a1c89e618,PASSED
reuse,2,0.40334225399419665,2.4792840078054112,1.7459226889768615,1.1455260949567199,1.1455260949567199,0.8118436666666667,0.757859,65fd30ad0ebb44498069ea7bc47f5b1b,PASSED
reuse,3,0.39195865899091586,2.5512894716357732,2.1378813479677774,1.403258418832146,1.403258418832146,0.8114118333333332,0.757859,42bc3e5af42e44ec9b69329bfdbbfbeb,PASSED
reuse,4,0.3923047080170363,2.549038998422047,2.5301860559848137,1.5809114078937159,1.5809114078937159,0.8112245000000001,0.757859,803dd005823b499197fb243bb4a77a3d,PASSED
reuse,5,0.39366652799071744,2.540221047250377,2.923852583975531,1.7100725349160912,1.7100725349160912,0.8127021666666666,0.757859,1ba46d95bc4f4a658971da2f8a4681a0,PASSED
reuse,6,0.3922764169983566,2.5492228353971873,3.3161290009738877,1.8093385384699774,1.8093385384699774,0.8127986666666667,0.757859,a6b8be5e95c54b1e8d51d3a7d42a5f29,PASSED
reuse,7,0.39290401100879535,2.545150907043335,3.709033011982683,1.8872843615533401,1.8872843615533401,0.8118703333333334,0.757859,c9d4dc00ca734618bcb15be4702def16,PASSED
reuse,8,0.39203449204796925,2.550795963834836,4.101067504030652,1.9507116115834133,1.9507116115834133,0.8131933333333334,0.757859,1ec80810479645debc2e8e93de1c5423,PASSED
reuse,9,0.3951612320379354,2.530612618152785,4.496228736068588,2.0016775231656516,2.0016775231656516,0.8129211666666666,0.757859,ac9da1e55cea49558fda321ee493be7c,PASSED
reuse,10,0.3932067980058491,2.543191025871136,4.889435534074437,2.045225861003807,2.045225861003807,0.8156673333333333,0.757859,68d537bd40b74880a75e703474c51506,PASSED
reuse,11,0.3927160369930789,2.5463691466656955,5.282151571067516,2.082484732216216,2.5383473618242642,0.8130173333333334,0.757859,4e3ee9f9a7ab4487af7cb4002ad06a54,PASSED
reuse,12,0.3906282000243664,2.5599790284921125,5.672779771091882,2.115365038697822,2.5465658135472453,0.8126225000000001,0.757859,5edc822910454c3d8da2a9858a95f5d3,PASSED
reuse,13,0.39223275595577434,2.5495065998841606,6.0650125270476565,2.1434415744443935,2.5463880741419453,0.8158219999999999,0.757859,1b4f95232de543948d816d57de4184b4,PASSED
reuse,14,0.393197110039182,2.543253687445338,6.4582096370868385,2.167783454969279,2.545809563901461,0.8129105000000001,0.757859,a34ff485a0554992aa0012c7a194051e,PASSED
reuse,15,0.39217989100143313,2.5498502675557777,6.850389528088272,2.1896565061733106,2.5467734398866453,0.8134438333333334,0.757859,b5876a56dce549ff8c1d40fae830bbb0,PASSED
reuse,16,0.3927792749600485,2.5459591779676125,7.24316880304832,2.2089779259688562,2.5464473252136552,0.8152306666666668,0.757859,8649243e37a74f7ab7b937bd039dbe66,PASSED
reuse,17,0.392679502023384,2.5466060612974144,7.635848305071704,2.226340718255057,2.5465929140083188,0.8147025000000001,0.757859,52e3b38a6b5d41048b03fc7aa3097050,PASSED
reuse,18,0.39172488095937297,2.552812059195477,8.027573186031077,2.2422716782354746,2.546793716825931,0.8132678333333333,0.757859,ba9a1db2c7e6472b951a26d9eefeb7c0,PASSED
reuse,19,0.3925224790000357,2.5476247947570645,8.420095665031113,2.256506428888631,2.5485064047888115,0.812735,0.757859,6d8dacf58378493abeaf89293e1586ad,PASSED
reuse,20,0.40537501696962863,2.4668515772764597,8.825470682000741,2.26616808560583,2.540627719055936,0.8131291666666667,0.757859,4fcf72cfea2a439993fedec07deced38,PASSED
reuse,21,0.3919827069621533,2.5511329511190706,9.217453388962895,2.278286541176947,2.5411011563397836,0.8131828333333333,0.757859,f253405e41c1419ab0984535ad1a3d77,PASSED
reuse,22,0.3955018660053611,2.528433076941399,9.612955254968256,2.288578217258398,2.537958027737873,0.8153481666666668,0.757859,4cd2a4be26bf47bca05e35ed6208c116,PASSED
reuse,23,0.39397341100266203,2.538242358678472,10.006928665970918,2.298407510209671,2.536837326714797,0.8129055,0.757859,806937b9b44846a4a40ff511ad149950,PASSED
reuse,24,0.39459264499600977,2.534259096517403,10.401521310966928,2.3073547880631082,2.535939541943518,0.8141643333333333,0.757859,371696895a3e412c9b96f8e582e88f3e,PASSED
