suite,definition_name,seq_len,latency_ms,tflops,workload_uuid
mha_with_lse,mha_with_lse_d64,512,0.049834833333333335,253.47929732157795,7cde18bb-9852-4686-9c46-1ddd947983ef
mha_with_lse,mha_with_lse_d64,1024,0.14009649999999998,364.3778526146113,133c0470-ebd6-465d-8d72-2b3434b60396
mha_with_lse,mha_with_lse_d64,2048,0.4689673333333333,443.2408908917347,7981ac38-4da5-4556-aca8-54030547467f
mha_with_lse,mha_with_lse_d64,4096,1.7250785000000002,467.64030643875134,7d2575a0-bcc2-42a0-812f-6a7e9a57d97f
mha_with_lse,mha_with_lse_d64,8192,7.190062999999999,457.030137297597,cc51c9ff-4dc9-4740-b1fb-7445d752a516
mha_with_lse,mha_with_lse_d64,16384,29.202457666666664,454.29880721410433,d32728c4-6700-404e-807b-a3822abc7814
mha_with_lse,mha_with_lse_d96,512,0.0650085,296.06776175510174,697b25f5-0a4c-4213-95f9-fb125ad885ba
mha_with_lse,mha_with_lse_d96,1024,0.18667766666666666,416.8612033474248,4e48380e-7a3b-4d10-b338-c24d6322900e
mha_with_lse,mha_with_lse_d96,2048,0.6304815,492.4784538696073,1964f31c-68e5-4d29-b559-dbcecd65b137
mha_with_lse,mha_with_lse_d96,4096,2.569291,486.60721023654764,e86112ff-2cd0-4e97-8efb-9ce6356ecb2b
mha_with_lse,mha_with_lse_d96,8192,10.410085666666667,474.8642288798824,0ea0ae8f-d6a2-437e-9cd3-7b7433cdab37
mha_with_lse,mha_with_lse_d96,16384,41.912523166666666,473.5517349632036,5bb9ee96-9118-4211-8db8-19223c7ca27f
mha_with_lse,mha_with_lse_d128,512,0.06665083333333333,388.9135958708743,3d92fe55-87fb-4016-9a2c-c1bd6526d10a
mha_with_lse,mha_with_lse_d128,1024,0.1903423333333333,543.6801280481587,273c13e8-6faa-40b3-a4d0-bf6113359ec6
mha_with_lse,mha_with_lse_d128,2048,0.6481945,638.1115791947711,0c6a7e3e-4098-4022-9377-df6a39ec6193
mha_with_lse,mha_with_lse_d128,4096,2.699546,616.1722313769354,bc38b351-d595-451b-9153-8e225702e53b
mha_with_lse,mha_with_lse_d128,8192,10.644292,622.6518446190029,94420e1f-9cd0-4354-bbc6-60dd8e3e984d
mha_with_lse,mha_with_lse_d128,16384,42.73183633333334,616.4613715245354,b6b86bc4-a7ca-4d4a-b001-2e53c6602c43
mha_with_lse,mha_with_lse_d256,512,0.120027,430.586951840563,e029de10-28a7-4330-912f-77b03ec9bdb9
mha_with_lse,mha_with_lse_d256,1024,0.34011366666666665,604.922308757444,06ebecf7-f415-4095-a4ad-fda5f5b5372d
