definition_name,seq_len,latency_ms,tflops,workload_uuid
mha_with_lse_d64,512,0.049834833333333335,253.47929732157795,7cde18bb-9852-4686-9c46-1ddd947983ef
mha_with_lse_d64,1024,0.14009649999999998,364.3778526146113,133c0470-ebd6-465d-8d72-2b3434b60396
mha_with_lse_d64,2048,0.4689673333333333,443.2408908917347,7981ac38-4da5-4556-aca8-54030547467f
mha_with_lse_d64,4096,1.7250785000000002,467.64030643875134,7d2575a0-bcc2-42a0-812f-6a7e9a57d97f
mha_with_lse_d64,8192,7.190062999999999,457.030137297597,cc51c9ff-4dc9-4740-b1fb-7445d752a516
mha_with_lse_d64,16384,29.202457666666664,454.29880721410433,d32728c4-6700-404e-807b-a3822abc7814
mha_with_lse_d96,512,0.0650085,296.06776175510174,697b25f5-0a4c-4213-95f9-fb125ad885ba
mha_with_lse_d96,1024,0.18667766666666666,416.8612033474248,4e48380e-7a3b-4d10-b338-c24d6322900e
mha_with_lse_d96,2048,0.6304815,492.4784538696073,1964f31c-68e5-4d29-b559-dbcecd65b137
mha_with_lse_d96,4096,2.569291,486.60721023654764,e86112ff-2cd0-4e97-8efb-9ce6356ecb2b
mha_with_lse_d96,8192,10.410085666666667,474.8642288798824,0ea0ae8f-d6a2-437e-9cd3-7b7433cdab37
mha_with_lse_d96,16384,41.912523166666666,473.5517349632036,5bb9ee96-9118-4211-8db8-19223c7ca27f
mha_with_lse_d128,512,0.06665083333333333,388.9135958708743,3d92fe55-87fb-4016-9a2c-c1bd6526d10a
mha_with_lse_d128,1024,0.1903423333333333,543.6801280481587,273c13e8-6faa-40b3-a4d0-bf6113359ec6
mha_with_lse_d128,2048,0.6481945,638.1115791947711,0c6a7e3e-4098-4022-9377-df6a39ec6193
mha_with_lse_d128,4096,2.699546,616.1722313769354,bc38b351-d595-451b-9153-8e225702e53b
mha_with_lse_d128,8192,10.644292,622.6518446190029,94420e1f-9cd0-4354-bbc6-60dd8e3e984d
mha_with_lse_d128,16384,42.73183633333334,616.4613715245354,b6b86bc4-a7ca-4d4a-b001-2e53c6602c43
mha_with_lse_d256,512,0.120027,430.586951840563,e029de10-28a7-4330-912f-77b03ec9bdb9
mha_with_lse_d256,1024,0.34011366666666665,604.922308757444,06ebecf7-f415-4095-a4ad-fda5f5b5372d
mha_with_lse_d256,2048,1.2499301666666667,683.5163104161109,0bdb6ed3-05c2-4fb4-ae68-9b4fb66acdf9
mha_with_lse_d256,4096,5.012993833333334,661.8368337803887,2b241dd1-683b-48e4-8d4b-3062cea34523
mha_with_lse_d256,8192,20.202642666666666,656.0116031705436,6fdae708-0dd1-48fb-b52b-0f4f1abf2af9
mha_with_lse_d256,16384,79.92538016666667,664.1686847782914,e04c1871-6f48-464d-bd71-730056cc6696
mha_with_lse_d64_causal,512,0.044608499999999995,140.9351473313086,e94334ce-469f-4717-b46a-e9f623326647
mha_with_lse_d64_causal,1024,0.09746166666666667,264.6984288756651,f3b866cd-66f3-4385-8a8e-1747ba640fce
mha_with_lse_d64_causal,2048,0.279073,368.95394878464043,2e552518-49fd-4d12-875e-ae7378c2af1b
mha_with_lse_d64_causal,4096,0.9518011666666665,431.812247811485,b69f7675-568f-40f2-9a4b-8bbe374b4a59
mha_with_lse_d64_causal,8192,3.720164666666667,445.44060319028523,8d671934-1c11-4691-ad0a-118782cc6169
mha_with_lse_d64_causal,16384,14.691501,451.64666095691473,7d762110-27a6-42ff-a687-e7df25162fa2
mha_with_lse_d96_causal,512,0.05771216666666667,167.9116004784066,382f7fbe-ecd0-4a2a-b324-6f0ef517b9d6
mha_with_lse_d96_causal,1024,0.1337816666666667,293.05143757652337,ebf9c9e8-0461-4b5f-a1d4-17994ded493b
mha_with_lse_d96_causal,2048,0.3853236666666667,400.8704934289614,c5567088-4398-4b78-82da-8ec750193187
mha_with_lse_d96_causal,4096,1.350623,461.2719611695671,982c9922-961f-452f-ab9e-574fdcd4e28c
mha_with_lse_d96_causal,8192,5.450279666666667,458.21259187811984,d6b88fa6-4ce6-4000-84d2-b4d175b48bab
mha_with_lse_d96_causal,16384,21.472605166666668,461.05356844026846,8cf3f88c-a9ce-452e-bab5-e2fe092df63f
mha_with_lse_d128_causal,512,0.06089583333333334,213.79874205404332,8c1722c8-944f-4053-ad77-380cb64c958f
mha_with_lse_d128_causal,1024,0.13553633333333334,379.69638462048493,87694309-729f-4509-bdd5-d25b6523ba99
mha_with_lse_d128_causal,2048,0.3928603333333333,526.5571116988467,00fc7dc5-c57b-4920-9422-367cea0166ce
