definition_name,m,n,k,latency_ms,tflops,workload_uuid
fp8_gemm_nt_1d2d_n24576_k1536,4096,24576,1536,0.2601448333333333,1188.7133845774374,486207fd-8c46-4ca8-a0ac-a9e5288906d8
fp8_gemm_nt_1d2d_n32768_k512,4096,32768,512,0.159339,862.5568973823107,9b6888ef-1c26-4c5f-9ca8-fc5a6b85d467
fp8_gemm_nt_1d2d_n7168_k16384,4096,7168,16384,0.6691380000000001,1437.7791640947007,e2472d61-91c2-4b15-94c8-9938d8afb8b5
fp8_gemm_nt_1d2d_n4096_k7168,4096,4096,7168,0.18921116666666668,1271.1626528878228,c6eae59f-9e2f-4dae-992d-a4ea14310757
fp8_gemm_nt_1d2d_n7168_k2048,4096,7168,2048,0.11461333333333334,1049.2591114006514,21e6af98-029e-4706-9243-408e24bd8fae
fp8_gemm_nt_1d1d_n24576_k1536,4096,24576,1536,0.6322898333333334,489.0757829866525,08eccc22-a3b0-4f30-a49f-f6b3a7ea57c6
fp8_gemm_nt_1d1d_n32768_k512,4096,32768,512,0.7392818333333334,185.90873909656915,301b8ee8-b62c-415b-8a12-36c1c25f2403
fp8_gemm_nt_1d1d_n7168_k16384,4096,7168,16384,1.0017266666666667,960.4143588443955,fceefc5e-357d-4e8a-8ca0-97c7c558f9ea
fp8_gemm_nt_1d1d_n4096_k7168,4096,4096,7168,0.30963266666666667,776.7855089880698,f19931f8-9b77-411f-86fc-3694afe5046a
fp8_gemm_nt_1d1d_n7168_k2048,4096,7168,2048,0.229409,524.2125822788121,2680ad3e-1733-467e-a353-b366f404f2c3
