run_dir,trajectory_id,turn,fixed_correctness,fixed_speedup,fixed_arch_tag,definition,prompt_tag,test_path,original_kernel_path,original_log_path,original_source_run,original_trajectory_id,original_turn,ted_raw,ted_norm,ted_error,fixed_kernel_extracted,original_num_global,fixed_num_global,original_cfg_node_count,fixed_cfg_node_count,original_cfg_depth,fixed_cfg_depth,original_cfg_branches,fixed_cfg_branches,original_cfg_loops,fixed_cfg_loops,original_cfg_hash,fixed_cfg_hash,original_global_kernel_names,fixed_global_kernel_names,original_helpers_count,fixed_helpers_count
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_000,0,Compilation error,,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t0.txt,qwen36-27b-mha-bwd-d128,exp_000,0,0,0,,true,2,2,92,92,14,14,5,5,27,27,38d6773c3cf1bd86734eeb850f79c1db,38d6773c3cf1bd86734eeb850f79c1db,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]",5,5
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_000,1,Kernel Execution Timeout,0.0,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t0.txt,qwen36-27b-mha-bwd-d128,exp_000,0,0,0,,true,2,2,92,92,14,14,5,5,27,27,38d6773c3cf1bd86734eeb850f79c1db,38d6773c3cf1bd86734eeb850f79c1db,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]",5,5
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_000,2,Other error,,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t0.txt,qwen36-27b-mha-bwd-d128,exp_000,0,130,0.948905109,,true,2,2,92,137,14,7,5,10,27,10,38d6773c3cf1bd86734eeb850f79c1db,19cced387648c2bdf06cc4ba44d8c074,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""bwd_kernel_1"",""bwd_kernel_2""]",5,8
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_000,3,Numerical error,0.0,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t0.txt,qwen36-27b-mha-bwd-d128,exp_000,0,127,0.90070922,,true,2,2,92,141,14,7,5,10,27,10,38d6773c3cf1bd86734eeb850f79c1db,a71f5c0cfab2f75625b8b3daf45aac52,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""bwd_kernel_1"",""bwd_kernel_2""]",5,9
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_000,4,Correct,0.09667030980293834,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t0.txt,qwen36-27b-mha-bwd-d128,exp_000,0,130,0.872483221,,true,2,2,92,149,14,7,5,10,27,14,38d6773c3cf1bd86734eeb850f79c1db,39945f6c1a6cccae47b81e13403da08d,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""bwd_kernel_1"",""bwd_kernel_2""]",5,9
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_001,0,Kernel Execution Timeout,0.0,G,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t1.txt,qwen36-27b-mha-bwd-d128,exp_000,1,37,0.451219512,,true,2,2,82,74,14,9,3,2,27,25,727bb48503e6147636e414fa282edcfc,9011deb6203b05b2f3ab1cc6e63c9981,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]",3,3
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_001,1,Compilation error,,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t1.txt,qwen36-27b-mha-bwd-d128,exp_000,1,157,0.902298851,,true,2,3,82,174,14,6,3,11,27,13,727bb48503e6147636e414fa282edcfc,0526e53b4086077443ea6e3c4f0058f3,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""compute_D_kernel"",""mha_bwd_KV_kernel"",""mha_bwd_Q_kernel""]",3,8
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_001,2,Numerical error,0.0,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t1.txt,qwen36-27b-mha-bwd-d128,exp_000,1,165,0.882352941,,true,2,3,82,187,14,6,3,11,27,23,727bb48503e6147636e414fa282edcfc,8c173451ab32e2be48bbd14e342435f3,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""compute_D_kernel"",""mha_bwd_KV_kernel"",""mha_bwd_Q_kernel""]",3,8
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_001,3,Correct,0.34928636814720265,H,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t1.txt,qwen36-27b-mha-bwd-d128,exp_000,1,169,0.884816754,,true,2,3,82,191,14,6,3,11,27,25,727bb48503e6147636e414fa282edcfc,5fe6f0e2299725f2fecffef43e05322b,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""compute_D_kernel"",""mha_bwd_KV_kernel"",""mha_bwd_Q_kernel""]",3,8
/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini,exp_002,0,Kernel Execution Timeout,0.0,G,mha_bwd_d128,hopper-no-hint,/home/ubuntu/AccRL/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/kernel_t2.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_000/log_t2.txt,qwen36-27b-mha-bwd-d128,exp_000,2,12,0.146341463,,true,2,2,82,74,14,14,3,2,27,25,727bb48503e6147636e414fa282edcfc,7499178d6264c40855121b3f35e2b5e9,"[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]","[""mha_bwd_dV_kernel"",""mha_bwd_dQK_kernel""]",3,3
