stage_index,group,parquet_rows,run,run_dir,definition,prompt_tag,prompt_tag_raw,prompt_tag_match,replica,trajectory_id,turn,correctness,is_correct,speedup,arch_tag,is_comparison_pair,is_shared_pair
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,0,Runtime error,0,0.0,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,1,Runtime error,0,0.0,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,2,Runtime error,0,0.0,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,3,Correct,1,0.31625565011696544,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,4,Correct,1,0.4920987152875529,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,5,Correct,1,0.4986686615006938,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,6,Correct,1,0.47386417750350646,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,0,exp_000,7,Compilation error,0,0.0,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,1,exp_001,0,Runtime error,0,0.0,"H, B",1,1
0,gemini-3.1-pro-preview,N/A,2026-0513-1125,/home/ubuntu/AccRL-exps/eval_runs/2026-0513-1125,gemm_n7168_k5120,b200-bf16,b200-bf16,b200-bf16,1,exp_001,1,Runtime error,0,0.0,"H, B",1,1
